DetailedCharacteristicSector2011Code,DetailedCharacteristicSector2011Name,PostcodeSector2011,CouncilArea2011Code,AbsorbedOther,OtherSectors
S28000478,G73 4 (part),G73 4,S12000029,,
S28000479,G73 5,G73 5,S12000029,,
S28000480,G74 1,G74 1,S12000029,,
S28000481,G74 2,G74 2,S12000029,,
S28000482,G74 3,G74 3,S12000029,,
S28000483,G74 4,G74 4,S12000029,,
S28000484,G74 5; G76 9 (part),G74 5,S12000029,YES,G76 9 (part)
S28000485,G75 0,G75 0,S12000029,,
S28000486,G75 8,G75 8,S12000029,,
S28000487,G75 9,G75 9,S12000029,,
S28000488,G76 0,G76 0,S12000011,,
S28000489,G76 7,G76 7,S12000011,,
S28000490,G76 8 (part),G76 8,S12000011,,
S28000491,G76 9 (part),G76 9,S12000046,,
S28000492,G77 5,G77 5,S12000011,,
S28000493,G77 6 (part),G77 6,S12000011,,
S28000494,G78 1 (part),G78 1,S12000011,,
S28000495,G78 2,G78 2,S12000011,,
S28000496,G78 3 (part); G78 4 (part),G78 3,S12000011,YES,G78 4 (part)
S28000497,G81 1 (part); G14 0 (part),G81 1,S12000039,YES,G14 0 (part)
S28000498,G81 2,G81 2,S12000039,,
S28000499,G81 3,G81 3,S12000039,,
S28000500,G81 4,G81 4,S12000039,,
S28000501,G81 5 (part),G81 5,S12000039,,
S28000502,G81 6,G81 6,S12000039,,
S28000503,G82 1,G82 1,S12000039,,
S28000504,G82 2,G82 2,S12000039,,
S28000505,G82 3,G82 3,S12000039,,
S28000506,G82 4,G82 4,S12000039,,
S28000507,G82 5 (part),G82 5,S12000035,,
S28000508,G82 5 (part),G82 5,S12000039,,
S28000509,G83 0,G83 0,S12000039,,
S28000510,G83 8 (part),G83 8,S12000039,,
