Datazone2001Code,ScottishIndexofMultipleDeprivation2012Code
S01001473,5698
S01001474,3765
S01001475,6375
S01001476,6180
S01001477,5001
S01001478,6278
S01001479,4097
S01001480,5953
S01001481,6008
S01001482,2189
S01001483,6155
S01001484,6293
S01001485,5450
S01001486,6239
S01001487,2490
S01001488,5525
S01001489,6117
S01001490,2350
S01001491,6058
S01001492,2030
S01001493,5607
S01001494,1916
S01001495,6032
S01001496,5887
S01001497,1755
S01001498,5911
S01001499,4764
S01001500,1344
S01001501,6081
S01001502,4929
S01001503,5532
S01001504,2212
S01001505,5816
S01001506,3105
S01001507,5989
S01001508,6025
S01001509,1444
S01001510,2669
S01001511,6250
S01001512,0183
S01001513,0152
S01001514,3300
S01001515,6158
S01001516,2410
S01001517,1542
S01001518,2473
S01001519,6326
S01001520,2126
S01001521,4821
S01001522,1611
S01001523,6161
S01001524,2148
S01001525,2816
S01001526,5125
S01001527,3379
S01001528,4753
S01001529,5095
S01001530,2729
S01001531,2449
S01001532,5928
S01001533,6136
S01001534,5615
S01001535,4745
S01001536,1643
S01001537,1629
S01001538,5217
S01001539,4711
S01001540,6013
S01001541,4693
S01001542,4853
S01001543,4094
S01001544,2752
S01001545,5385
S01001546,0722
S01001547,1986
S01001548,5083
S01001549,3995
S01001550,4646
S01001551,3935
S01001552,3382
S01001553,4564
S01001554,5401
S01001555,1701
S01001556,3977
S01001557,4858
S01001558,3303
S01001559,2577
S01001560,3781
S01001561,3067
S01001562,4014
S01001563,5308
S01001564,3404
S01001565,2456
S01001566,4618
S01001567,5535
S01001568,5704
S01001569,5431
S01001570,5961
S01001571,1494
S01001572,4461
S01001573,4703
S01001574,1346
S01001575,2914
S01001576,1898
S01001577,4658
S01001578,2980
S01001579,1915
S01001580,4341
S01001581,4805
S01001582,2398
S01001583,2247
S01001584,3110
S01001585,2017
S01001586,6063
S01001587,1405
S01001588,1931
S01001589,1786
S01001590,4285
S01001591,2202
S01001592,1025
S01001593,3150
S01001594,2032
S01001595,0658
S01001596,3836
S01001597,3492
S01001598,6358
S01001599,2853
S01001600,2266
S01001601,4424
S01001602,4534
S01001603,2324
S01001604,1207
S01001605,3944
S01001606,1705
S01001607,4365
S01001608,5637
S01001609,2436
S01001610,3636
S01001611,4689
S01001612,5861
S01001613,0753
S01001614,2764
S01001615,2217
S01001616,6369
S01001617,1907
S01001618,4264
S01001619,2528
S01001620,1946
S01001621,2666
S01001622,1917
S01001623,2962
S01001624,2995
S01001625,1232
S01001626,4497
S01001627,2738
S01001628,1465
S01001629,3774
S01001630,0691
S01001631,3952
S01001632,5518
S01001633,6257
S01001634,5904
S01001635,4107
S01001636,5994
S01001637,4809
S01001638,2883
S01001639,2372
S01001640,6457
S01001641,4524
S01001642,4416
S01001643,4201
S01001644,4275
S01001645,3768
S01001646,4402
S01001647,5018
S01001648,3221
S01001649,2401
S01001650,3933
S01001651,4540
S01001652,5769
S01001653,2858
S01001654,5204
S01001655,4925
S01001656,4539
S01001657,4572
S01001658,4278
S01001659,6396
S01001660,6390
